Day,Problem Name,Topic,Difficulty,Language,LOGIC,CODE
52,Word Search in Matrix,,⭐⭐⭐,java,https://www.youtube.com/watch?v=YGk1yAeOUsw&t=22s,https://www.youtube.com/watch?v=_GIT1qHUy8Y&t=10s
53,Selling Wine Bottles,,⭐⭐⭐,java,https://www.youtube.com/watch?v=EEU6QV3tQ5k,https://www.youtube.com/watch?v=6SADv2EaoIw
54,Street Travel Count,,⭐⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=wdeJvXF6YRY&t=1s,https://www.youtube.com/watch?v=2Xc955dNIys
55,Vendor Maximum Profit,,⭐⭐⭐,java,https://www.youtube.com/watch?v=kpoXaH_ZRbc,https://www.youtube.com/watch?v=_JGgKyUnQWA
56,Corona Virus,,⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=Dfaj2vA6Vi0&t=8s,https://www.youtube.com/watch?v=Cs9P7CP-JFI&t=13s
57,Intelligent Chef,,⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=QQHndo3l_lU,https://www.youtube.com/watch?v=WRim5PcB6gs
58,Largest Square Sub Matrix with 1s,,⭐⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=rdig1RbL3xs,https://www.youtube.com/watch?v=TdWHbwdjI24
59,Max Coins - Bottom Row Cannot Pick,,⭐⭐,java,https://www.youtube.com/watch?v=JMRDYzTB4iE,https://www.youtube.com/watch?v=2vkj5ZcoykQ
60,Find Single Value Repeated Odd Times,,⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=SuXK6X4JgbQ,https://www.youtube.com/watch?v=W-8zZe1KQQ4
61,Toll Gate Collection,,⭐⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=x0wY2-S5-Rs&t=6s,https://www.youtube.com/watch?v=7GoR_NOgkMA
62,Word Break,,⭐⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=q85GqO2FbdI,https://www.youtube.com/watch?v=c0UUcHNW4Ns
63,Wildcard Pattern Matching,,⭐⭐⭐,java,https://www.youtube.com/watch?v=g7KXWiiOtbA&t=8s,https://www.youtube.com/watch?v=BotnSue5_eA
64,Pet Store Dogs,,⭐⭐⭐,java,https://www.youtube.com/watch?v=CMu0yUCqgAs,https://www.youtube.com/watch?v=8TcNk0E2VN4
65,Minimum Edit Distance Two Strings,,⭐⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=lizkwM1gmw4,https://www.youtube.com/watch?v=0xLa7W6FFsw
66,Single Source Shortest Path,,⭐⭐⭐,java,https://www.youtube.com/watch?v=5YHc2sR8S4o,https://www.youtube.com/watch?v=L9hTD6Ck7Y4
67,Photograph Height,,⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=fPWBHcIXifs,https://www.youtube.com/watch?v=zM56le6VErA
68,Minimum Jumps to Reach End,,⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=JUH4Ayb373g,https://www.youtube.com/watch?v=Yhxzu9S75Bw
69,Browsing Center Computers,,⭐⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=y1tyNq0eKaw,https://www.youtube.com/watch?v=01du4OO3RXA&t=2s
70,LongestPalindromicSubString,,⭐⭐,java,,https://www.youtube.com/watch?v=tMCQB5r2swY&t=235s
71,Palindromic Partition,,⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=HK1qCy6FYdo,https://www.youtube.com/watch?v=1ajrr9Yy-PU&t=5s
72,String Permutation,,⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=dmzPo0meGyQ,https://www.youtube.com/watch?v=iSj7a1Qt6cc&t=226s
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
" ",,,,,,
,,,,,,
,,,,,,
